name,product_type,price,price_excl_tax,price_incl_tax,Availability,catagory
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Books,£22.60,£22.60,£22.60,In stock (19 available),Default
A Light in the Attic,Books,£51.77,£51.77,£51.77,In stock (22 available),Poetry
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Books,£17.93,£17.93,£17.93,In stock (19 available),Default
Soumission,Books,£50.10,£50.10,£50.10,In stock (20 available),Fiction
Sharp Objects,Books,£47.82,£47.82,£47.82,In stock (20 available),Mystery
The Requiem Red,Books,£22.65,£22.65,£22.65,In stock (19 available),Young Adult
Sapiens: A Brief History of Humankind,Books,£54.23,£54.23,£54.23,In stock (20 available),History
The Dirty Little Secrets of Getting Your Dream Job,Books,£33.34,£33.34,£33.34,In stock (19 available),Business
Tipping the Velvet,Books,£53.74,£53.74,£53.74,In stock (20 available),Historical Fiction
Mesaerion: The Best Science Fiction Stories 1800-1849,Books,£37.59,£37.59,£37.59,In stock (19 available),Science Fiction
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Books,£57.25,£57.25,£57.25,In stock (19 available),Music
Rip it Up and Start Again,Books,£35.02,£35.02,£35.02,In stock (19 available),Music
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Books,£52.29,£52.29,£52.29,In stock (19 available),Sequential Art
It's Only the Himalayas,Books,£45.17,£45.17,£45.17,In stock (19 available),Travel
Libertarianism for Beginners,Books,£51.33,£51.33,£51.33,In stock (19 available),Politics
Olio,Books,£23.88,£23.88,£23.88,In stock (19 available),Poetry
Shakespeare's Sonnets,Books,£20.66,£20.66,£20.66,In stock (19 available),Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",Books,£13.99,£13.99,£13.99,In stock (19 available),Default
The Black Maria,Books,£52.15,£52.15,£52.15,In stock (19 available),Poetry
Set Me Free,Books,£17.46,£17.46,£17.46,In stock (19 available),Young Adult
The Four Agreements: A Practical Guide to Personal Freedom,Books,£17.66,£17.66,£17.66,In stock (18 available),Spirituality
You can't bury them all: Poems,Books,£33.63,£33.63,£33.63,In stock (17 available),Poetry
Sophie's World,Books,£15.94,£15.94,£15.94,In stock (18 available),Philosophy
The Bear and the Piano,Books,£36.89,£36.89,£36.89,In stock (18 available),Childrens
The Elephant Tree,Books,£23.82,£23.82,£23.82,In stock (18 available),Thriller
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Books,£31.05,£31.05,£31.05,In stock (18 available),Nonfiction
"In a Dark, Dark Wood",Books,£19.63,£19.63,£19.63,In stock (18 available),Mystery
Maude (1883-1993):She Grew Up with the country,Books,£18.02,£18.02,£18.02,In stock (18 available),Default
Penny Maybe,Books,£33.29,£33.29,£33.29,In stock (18 available),Default
Behind Closed Doors,Books,£52.22,£52.22,£52.22,In stock (18 available),Thriller
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Books,£22.50,£22.50,£22.50,In stock (19 available),Default
Birdsong: A Story in Pictures,Books,£54.64,£54.64,£54.64,In stock (19 available),Childrens
Black Dust,Books,£34.53,£34.53,£34.53,In stock (19 available),Romance
Chase Me (Paris Nights #2),Books,£25.27,£25.27,£25.27,In stock (19 available),Romance
Wall and Piece,Books,£44.18,£44.18,£44.18,In stock (18 available),Art
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Books,£40.30,£40.30,£40.30,In stock (18 available),Nonfiction
Aladdin and His Wonderful Lamp,Books,£53.13,£53.13,£53.13,In stock (19 available),Default
How Music Works,Books,£37.32,£37.32,£37.32,In stock (19 available),Music
In Her Wake,Books,£12.84,£12.84,£12.84,In stock (19 available),Thriller
The Secret of Dreadwillow Carse,Books,£56.13,£56.13,£56.13,In stock (16 available),Childrens
